correct_ans_word,word_diff,cos_sim_all,jac_sim_all,cos_sim_en,jac_sim_en,cos_sim_key,jac_sim_key,out
6,3,0.0,0.0,0.577,0.333,0.408,0.25,0
6,2,0.408,0.111,0.577,0.333,0.612,0.25,1
6,5,0.0,0.0,0.408,0.25,0.577,0.143,2
6,4,0.0,0.0,0.577,0.333,0.471,0.286,2
8,23,0.261,0.03,0.258,0.143,0.386,0.133,2
6,5,0.0,0.0,0.408,0.25,0.577,0.143,1
6,4,0.577,0.143,0.408,0.25,0.289,0.143,2
6,3,0.236,0.125,0.577,0.333,0.236,0.125,2
6,4,0.0,0.0,0.577,0.333,0.408,0.167,2
3,0,1.0,0.5,1.0,1.0,1.0,1.0,2
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,2,0.707,0.333,0.707,0.333,1.0,1.0,1
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,0.816,0.5,0.707,0.4,1.0,1.0,2
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,0.0,0.0,0.707,0.333,1.0,1.0,0
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,1.0,1.0,1.0,1.0,1.0,1.0,2
3,0,0.5,0.5,0.707,0.333,1.0,1.0,2
3,1,0.0,0.0,0.5,0.25,0.447,0.2,0
3,15,0.603,0.125,0.632,0.333,0.447,0.25,0
3,0,1.0,0.5,1.0,0.5,1.0,1.0,0
3,2,0.707,0.333,0.707,0.333,1.0,1.0,1
30,16,0.59,0.414,0.667,0.5,0.678,0.5,2
30,27,0.0,0.0,0.408,0.25,0.125,0.053,0
30,25,0.264,0.032,0.408,0.25,0.25,0.062,0
30,11,0.646,0.314,0.408,0.25,0.401,0.286,2
30,16,0.63,0.171,0.408,0.25,0.722,0.556,2
30,8,0.912,0.741,1.0,1.0,0.829,0.688,2
30,27,0.341,0.034,0.577,0.333,0.5,0.25,1
30,18,0.468,0.219,0.577,0.333,0.442,0.278,1
30,12,0.758,0.452,0.333,0.2,0.65,0.474,2
30,21,0.344,0.125,0.577,0.333,0.612,0.375,1
30,21,0.344,0.125,0.577,0.333,0.612,0.375,1
30,5,0.947,0.667,1.0,1.0,0.935,0.875,2
30,27,0.341,0.071,0.577,0.333,0.5,0.25,1
30,27,0.341,0.071,0.577,0.333,0.5,0.25,1
30,26,0.0,0.0,0.577,0.333,0.177,0.059,0
30,22,0.626,0.25,0.577,0.333,0.612,0.375,1
30,24,0.104,0.032,0.577,0.333,0.125,0.053,1
30,13,0.838,0.426,0.289,0.167,0.639,0.52,2
30,22,0.626,0.25,0.577,0.333,0.612,0.375,1
30,16,0.591,0.367,0.577,0.333,0.829,0.688,1
30,26,0.369,0.069,0.408,0.25,0.289,0.056,0
30,25,0.0,0.0,0.408,0.25,0.144,0.056,0
1,2,0.577,0.333,0.707,0.5,0.707,0.5,2
1,1,0.0,0.0,0.408,0.25,0.408,0.25,2
1,0,0.0,0.0,0.5,0.333,0.5,0.333,2
1,1,0.0,0.0,0.707,0.5,0.408,0.25,2
1,2,0.0,0.0,0.5,0.333,0.408,0.25,1
1,1,0.0,0.0,0.408,0.25,0.408,0.25,0
1,2,0.0,0.0,0.5,0.2,0.5,0.333,2
1,2,0.0,0.0,0.5,0.2,0.5,0.333,2
1,1,0.0,0.0,0.408,0.25,0.408,0.25,2
1,1,0.0,0.0,0.408,0.25,0.408,0.25,2
1,3,0.0,0.0,0.408,0.25,0.408,0.25,1
